text,label
"API docs link broken in dashboard because base path updated but not reflected in UI config.",config
"Hosted cache configured for local file fallback so builds fail on CI agents.",config
"Container init script expects a file that isn't mounted by volume mapping.",config
"S3 bucket region mismatch in settings causing signature mismatch errors on upload.",config
"TLS certificate SAN missing new subdomain after domain migration causing browsers to warn.",config
"Outbound proxy requires authentication and credentials are not set in environment.",config
"Rate limiting headers missing leading to clients not observing remaining quota properly.",config
"Backup rotation policy keeps too few snapshots leading to inability to restore older data.",config
"Session cookie path set to root when app served under subpath so sessions lost.",config
"Ingress uses IPv6 rules but backend cluster only supports IPv4 resulting in unreachable endpoints.",config
"API gateway changes not deployed to all nodes resulting in inconsistent routing behavior.",config
"Job scheduler misconfigured with wrong cron expression causing nightly jobs to run hourly.",config

"Unit test fails with TypeError: unsupported operand type(s) when running compute_total in tests.",code
"Application throws NullReferenceException when processing user profile with missing email field.",code
"IndexError in list processing causes crash on edge case input containing empty arrays.",code
"Memory leak observed in worker after running for several hours — heap grows steadily.",code
"Database query returns unexpected null values due to incorrect JOIN condition in service layer.",code
"Race condition in concurrent request handling leads to duplicated entries under load.",code
"CI build fails with syntax error after recent refactor of parser function.",code
"Regression: new release introduced off-by-one error in pagination leading to missing last item.",code
"Unhandled promise rejection in async handler causes request to hang without response.",code
"Serialization error converting model to JSON when nested object contains datetime.",code
"TypeError: cannot iterate over None in CSV import utility for malformed rows.",code
"Infinite loop in retry logic causes high CPU usage on worker processes.",code
"Wrong SQL parameter binding leads to injection-like behavior for edge inputs.",code
"Unit test mock not restoring state leading to test order dependent failures.",code
"Unexpected 500 from API caused by unhandled exception in validation middleware.",code
"Function returns stale cache value due to missing cache invalidation on update path.",code
"HTTP client times out because function awaits on blocking I/O without timeout handling.",code
"Fuzz: deserializer throws ValueError for valid JSON with escaped characters.",code
"Null pointer dereference in image processing pipeline for empty file input.",code
"Incorrect error handling returns 200 with error payload instead of proper 4xx/5xx code.",code
"Buffer overflow in native extension when parsing large binary attachment causes crash.",code
"Serializer produces fields in wrong order causing consumer to misinterpret payload.",code
"Graph traversal algorithm misses nodes due to incorrect visited set usage.",code
"Data race between cache refresh and invalidation ends up exposing stale secrets.",code
"Timeout while awaiting DB transaction because transaction held too long due to nested locks.",code
"Null check missing before accessing user.address in order creation flow causing 500.",code
"Wrong timezone handling: converting timestamp without tzinfo causing off-by-hours bug.",code
"Unhandled exception in webhook handler when event payload contains unexpected schema.",code
"Memory allocation spike when processing large attachments causing OOM kills.",code
"API returns incorrect content-type header which breaks downstream clients expecting JSON.",code
"Off-by-one in slicing logic returns empty result for last page under certain sizes.",code
"Failed assert in integration test for payment flow after refactor of currency handling.",code
"Incorrect regex in validation rejects valid email addresses with plus signs.",code
"File descriptor leak observed in file uploader after many sequential uploads.",code
"Type mismatch in function signature causes TypeError in strongly typed path.",code
"Deadlock detected when two services call each other during startup sequence.",code
"API response contains HTML escaped entities due to double escaping in template renderer.",code
"Incorrect default parameter value mutated across calls causing state bleed between requests.",code
"Deprecated third-party API call still present; new API returns different payload shape.",code
"Concurrency bug in in-memory counter yields incorrect metrics under parallel load.",code
"Stack overflow in recursive algorithm for deeply nested input sets causing crash.",code
"SQL query missing ORDER BY causing non-deterministic results in pagination tests.",code
"Floating point rounding causes small discrepancies in billing calculation tests.",code
"ASGI event loop blocked by long-running sync operation in request handler.",code
"Broken link in generated sitemap due to wrong URL builder using base path incorrectly.",code
"Incorrect exception caught masking the real error from failing database operation.",code
"Unit test flaky: depends on timing-sensitive sleep used in test setup.",code
"Security: input sanitation missing in file upload path enabling path traversal on special names.",code
"Service returns 400 for valid requests due to strict schema validation rejecting optional fields.",code
"Incorrect encoding handling when reading files with non-UTF8 bytes raises UnicodeDecodeError.",code
"Search index not updated after document change due to missing commit step in indexer.",code
"API gateway rewrites payload and strips nested arrays causing downstream parsing failures.",code
"Memory use ramps up in async iterator due to accumulating list instead of streaming write.",code
"Unit test expectation outdated after refactor; assertion compares wrong status code.",code
"Slow query found due to subquery executed per row instead of joined aggregation.",code
"Unhandled key error when dictionary missing expected optional key in parsing logic.",code
"File upload produces truncated image because stream closed early by caller.",code
"Background job crashes intermittently due to NoneType passed to logger formatter.",code
"Wrong dependency version pinned causing incompatibility with new framework APIs.",code
"Missing await in async helper leads to coroutine object returned instead of awaited result.",code
"Index out of range when splitting path components in URL parser for trailing slash cases.",code
"Incorrect status code mapping: some validation errors return 500 instead of 422.",code
"Resource leak in DB client due to connections not closed on exception path.",code
"Faulty caching key includes user ID leading to cross-user cache contamination.",code
"Incorrect header casing causes downstream proxy to reject the request unexpectedly.",code
"Template rendering crash on missing context variable because no default provided.",code
"Scheduler skips tasks when job list mutated during iteration causing lost runs.",code
"Unexpected TypeError in analytics pipeline when encountering decimal.Decimal values.",code
"Missing guard for empty input resulting in division by zero in statistics module.",code
"Unhandled exception raised during JSON schema validation for optional sub-object.",code
"Build fails in CI due to environment variable required only on developer machines.",code
"Out-of-memory observed when generating large PDF due to building entire document in memory.",code
"Incorrect caching of async function result causing stale data returned to users.",code
"Database transaction isolation level causes phantom reads during concurrent updates.",code
"Exception in metrics exporter crashes service because exception is not caught in thread.",code
"Off-by-one in date range computation excludes last day from billing window.",code
"Incorrect path joining results in double slashes causing file not found on some filesystems.",code
"Function mutates input list unexpectedly causing callers to see side effects.",code
"Invalid JSON produced because trailing comma added when serializing empty list.",code
"Unit tests failing due to reliance on system locale differences in CI vs local.",code
"Null value passed to a library call which expects string leading to TypeError.",code
"Sporadic test failure due to non-deterministic ordering of dict iteration in older Python.",code
"Missing break in switch-like logic causing fall-through and incorrect branch execution.",code
"Websocket connection closed immediately because handshake missing required header.",code
"Incorrectly scoped variable in closure leads to all callbacks using last loop value.",code
"Serialization uses shallow copy and later mutation affects all serialized objects.",code
"Long-running transaction holds locks blocking other queries and causing timeouts.",code
"Endpoint accepts malformed input due to overly permissive parser causing downstream errors.",code
"Failure to validate user input leads to uncaught exception in processing pipeline.",code
"Resource deallocation order wrong causing use-after-free like errors in native module.",code
"Problem with encoding of query parameters causing unicode characters to be mangled.",code
"Test mocks not isolated, modifying global state and causing subsequent tests to fail.",code
"Incorrect fallback for missing header causes request to be processed as anonymous user.",code
"Data corruption reproduced when multiple writers update same record without optimistic locking.",code
"API returns inconsistent JSON structure between versions due to different serializer used.",code
"Unexpected 422 returned because object id field parsed as string instead of integer.",code
"Failure when parsing CSV with embedded newlines due to naive line splitting.",code
"High latency during bursts traced to synchronous disk writes in request path.",code
"Incorrect use of floating point comparisons leads to unstable equality checks in tests.",code
"Background thread swallows exceptions causing silent job failures without logs.",code
"Assertion error in test suite after refactor changed default timeout values.",code
"Stack trace indicates recursive call leading to maximum recursion depth exceeded on certain inputs.",code
"Integration test fails when run in CI because it depends on external service not mocked.",code
"Cache stampede when key expires because lazy reload performed by many concurrent requests.",code
"Function incorrectly assumes sorted input and misbehaves when order changes in new dataset.",code
"Resource URL builder escapes characters incorrectly resulting in broken links.",code
"Missing permission check allows unauthorized access to admin-only endpoint in certain flows.",code
"Error when converting CSV column to int for very large values causing ValueError.",code
"Proxy middleware swallows trailing slash causing route mismatch for subpath handlers.",code
"API client library throws when timeout value set to zero instead of None.",code
"Unhandled case for empty search query returns 500 instead of empty result set.",code
"Tests intermittently fail due to reliance on wall-clock time rather than frozen time.",code
"Incorrect merge of concurrent updates yields lost updates without conflict detection.",code
"Function returns generator instead of list causing unexpected iterator consumption in caller.",code
"Database read after write inconsistency in eventual consistency mode not handled in logic.",code
"Wrong codec used when writing binary file causing data corruption on Windows only.",code
"Performance regression: new sorting algorithm O(n^2) on large inputs causing timeouts.",code
"Unhandled exception in response middleware causes header write after response started error.",code
"Service behaves differently under Python 3.11 due to changed stdlib behavior for dict ordering.",code
"Error in dependency injection config results in wrong implementation being provided at runtime.",code
"API returns duplicate IDs because dedup logic uses wrong key for uniqueness.",code
"Missing newline at EOF causes some parsers to reject the generated CSV output.",code
"Incorrect HTML escaping in templates allows XSS vectors in user-generated content.",code
"Test helper modifies environment variables and does not restore them after completion.",code
"Crash observed when deserializing protobuf message with unknown enum values.",code
"Unhandled value error when parsing date in format yyyy/dd/mm introduced by locale change.",code
"Incorrectly handling of float NaN values breaking aggregation functions in analytics.",code
"Response caching returns 200 for deleted resources due to missing cache purge on delete.",code
"Unit test suite times out in CI because global teardown waits on external network call.",code
"Unexpected redirect loop from authentication middleware when callback URL logic flawed.",code
